Coercivity,Crystal_Structure,Curie,Curie(Tc),Curie_Weiss,Curie_Weiss(θp),DOI,Experimental,Lattice_Parameters,Lattice_Structure,Magnetic_Moment,Magnetization,Material_Name,Neel,Neel(Tn),New_Column_Concatenated,Remanence,Space_Group,Susceptibility
,Cubic,759,759,,,10.1016/j.jallcom.2006.06.089,TRUE,{'a': '7.3818'},MgCu2-type,,,Gd(Fe0.8Co0.2)2,,,Fe1.6Co0.4Gd1,,Fd3m,
,Cubic,799,799,,,10.1016/j.jallcom.2006.06.089,TRUE,{'a': '7.3768'},MgCu2-type,,,Gd(Fe0.7Co0.3)2,,,Fe1.4Co0.6Gd1,,Fd3m,
,Cubic,762,762,,,10.1016/j.jallcom.2006.06.089,TRUE,{'a': '7.3613'},MgCu2-type,,,Gd(Fe0.6Co0.4)2,,,Fe1.2Co0.8Gd1,,Fd3m,
,Cubic,789,789,,,10.1016/j.jallcom.2006.06.089,TRUE,{'a': '7.3475'},MgCu2-type,,,Gd(Fe0.5Co0.5)2,,,Fe1Co1Gd1,,Fd3m,
,Cubic,756,756,,,10.1016/j.jallcom.2006.06.089,TRUE,{'a': '7.3333'},MgCu2-type,,,Gd(Fe0.4Co0.6)2,,,Fe0.8Co1.2Gd1,,Fd3m,
,Cubic,757,757,,,10.1016/j.jallcom.2006.06.089,TRUE,{'a': '7.3202'},MgCu2-type,,,Gd(Fe0.3Co0.7)2,,,Fe0.6Co1.4Gd1,,Fd3m,
,Cubic,664,664,,,10.1016/j.jallcom.2006.06.089,TRUE,{'a': '7.3021'},MgCu2-type,,,Gd(Fe0.2Co0.8)2,,,Fe0.4Co1.6Gd1,,Fd3m,
,Cubic,562,562,,,10.1016/j.jallcom.2006.06.089,TRUE,{'a': '7.2838'},MgCu2-type,,,Gd(Fe0.1Co0.9)2,,,Fe0.2Co1.8Gd1,,Fd3m,
,Cubic,,,50.0 K,50,10.1016/j.jallcom.2021.158958,TRUE,"{'a': '10.5 Å', 'b': '10.5 Å', 'c': '10.5 Å'}",Face-centered cubic,7.44 μB/ion,,Gd2(Mo0.95Mn0.05)2O7,,,O7.0Mn0.1Mo1.9Gd2.0,,Fd-3m,
,Cubic,,,8 K,8,10.1016/j.jallcom.2021.158958,TRUE,"{'a': '10.5 Å', 'b': '10.5 Å', 'c': '10.5 Å'}",Face-centered cubic,7.93 μB/ion,,Gd2(Mo0.90Mn0.10)2O7,,,O7.0Mn0.2Mo1.8Gd2.0,,Fd-3m,
,Cubic,,,-8.0 K,-8,10.1016/j.jallcom.2021.158958,TRUE,"{'a': '10.4 Å', 'b': '10.4 Å', 'c': '10.4 Å'}",Face-centered cubic,10.315 μB/ion,,Ho2(Mo0.95Mn0.05)2O7,,,O7.0Mn0.1Mo1.9Ho2.0,,Fd-3m,
,Cubic,,,-10.2 K,-10.2,10.1016/j.jallcom.2021.158958,TRUE,"{'a': '10.4 Å', 'b': '10.4 Å', 'c': '10.4 Å'}",Face-centered cubic,11.012 μB/ion,,Ho2(Mo0.90Mn0.10)2O7,,,O7.0Mn0.2Mo1.8Ho2.0,,Fd-3m,
,Monoclinic,517,517 K,,,10.1016/S0925-8388(98)00461-7,TRUE,"{'a': '10.6041 Å', 'b': '8.5388 Å', 'c': '9.7007 Å'}",,38.74 μB,103.6 Am2/kg,Gd3(Fe0.989Ti0.011)29,,,Ti0.32Fe28.68Gd3.0,,P21/c,
,Monoclinic,527,527 K,,,10.1016/S0925-8388(98)00461-7,TRUE,"{'a': '10.6041 Å', 'b': '8.5388 Å', 'c': '9.7007 Å'}",,38.10 μB,102.0 Am2/kg,Gd3(Fe0.978Ti0.022)29,,,Ti0.64Fe28.36Gd3.0,,P21/c,
,Monoclinic,538,538 K,,,10.1016/S0925-8388(98)00461-7,TRUE,"{'a': '10.6041 Å', 'b': '8.5388 Å', 'c': '9.7007 Å'}",,35.17 μB,94.3 Am2/kg,Gd3(Fe0.966Ti0.034)29,,,Ti0.99Fe28.01Gd3.0,,P21/c,
,Monoclinic and Orthorhombic,295,295 K,,,10.1016/j.jallcom.2007.06.060,TRUE,"{'a': '7.5730 Å', 'b': '14.6675 Å', 'c': '7.6857 Å'}",Monoclinic,,,Gd5(Si1.985Ge1.985)Ga0.03,,,Si1.99Ga0.03Ge1.99Gd5.0,,P1121/a,
,Orthorhombic,295,295 K,,,10.1016/j.jallcom.2007.06.060,TRUE,"{'a': '7.4846 Å', 'b': '14.7736 Å', 'c': '7.7667 Å'}",Orthorhombic,,,Gd5(Si1.975Ge1.975)Ga0.05,,,Si1.98Ga0.05Ge1.98Gd5.0,,Pnma,
,Orthorhombic,295,295 K,,,10.1016/j.jallcom.2007.06.060,TRUE,"{'a': '7.4691 Å', 'b': '14.7573 Å', 'c': '7.7518 Å'}",Orthorhombic,,,Gd5(Si1.935Ge1.935)Ga0.13,,,Si1.94Ga0.13Ge1.94Gd5.0,,Pnma,
,Crystalline,195,195 K,,,10.1016/j.jallcom.2014.04.014,TRUE,,,,,La(Fe0.88Si0.12)13,,,Si1.56Fe11.44La1,,,
,Amorphous,194,194 K,,,10.1016/j.jnoncrysol.2017.10.010,TRUE,,,,200.6 emu/g,Gd75(Fe0.25Co0.75)25,,,Fe6.25Co18.75Gd75.0,,,
,Amorphous,203,203 K,,,10.1016/j.jnoncrysol.2017.10.010,TRUE,,,,207.8 emu/g,Gd75(Fe0.5Co0.5)25,,,Fe12.5Co12.5Gd75.0,,,
,Amorphous,223,223 K,,,10.1016/j.jnoncrysol.2017.10.010,TRUE,,,,207.2 emu/g,Gd75(Fe0.75Co0.25)25,,,Fe18.75Co6.25Gd75.0,,,
,Laves phase,105,105 K,,,10.1016/j.jallcom.2005.06.066,TRUE,,,,,GdFe0.3(Al0.95B0.05)1.7,,,B0.09Al1.61Fe0.3Gd1,,,
,,230,230.0 K,,,10.1016/j.physb.2021.413055,TRUE,,,,,La0.225Pr0.4(Ca0.95Sr0.05)0.375MnO3,,,O3.0Ca0.36Mn1Sr0.02La0.23Pr0.4,,,
,,238.8,238.8 K,,,10.1016/j.physb.2021.413055,TRUE,,,,,La0.225Pr0.4(Ca0.90Sr0.10)0.375MnO3,,,O3.0Ca0.34Mn1Sr0.04La0.23Pr0.4,,,
,Orthorhombic,165,165 K,,,10.1016/S0022-4596(03)00173-7,TRUE,"{'a': '5.4650 Å', 'b': '7.7394 Å', 'c': '5.4795 Å'}",Pnma,3.41 μB,,La0.7(Ca0.2Cd0.1)MnO3,,,O3.0Ca0.2Mn1Cd0.1La0.7,,Pnma,
,Orthorhombic,105,105 K,,,10.1016/S0022-4596(03)00173-7,TRUE,"{'a': '5.4616 Å', 'b': '7.7418 Å', 'c': '5.4715 Å'}",Pnma,3.14 μB,,La0.7(Ca0.1Cd0.2)MnO3,,,O3.0Ca0.1Mn1Cd0.2La0.7,,Pnma,
,Pseudocubic,315,315K,,,10.1016/j.ceramint.2017.03.040,TRUE,{'a': '3.8693'},Cubic,,,La0.8Sr0.08(Ca0.55Ba0.45)0.12MnO3,,,O3.0Ca0.07Mn1Sr0.08Ba0.05La0.8,,,
,Pseudocubic,290,290K,,,10.1016/j.ceramint.2017.03.040,TRUE,{'a': '3.8681'},Cubic,,124 emu/g at 150K and 2.0T,La0.7Bi0.1Sr0.08(Ca0.55Ba0.45)0.12MnO3,,,O3.0Ca0.07Mn1Sr0.08Ba0.05La0.7Bi0.1,,,
,Pseudocubic,140,140K,,,10.1016/j.ceramint.2017.03.040,TRUE,{'a': '3.8615'},Cubic,,,La0.5Bi0.3Sr0.08(Ca0.55Ba0.45)0.12MnO3,,,O3.0Ca0.07Mn1Sr0.08Ba0.05La0.5Bi0.3,,,
,Tetragonal,139,136-142 K,,,10.1016/j.jallcom.2006.06.007,TRUE,"{'a': '3.9008', 'c': '20.6134'}",,,,La1.4(Sr0.8Ba0.2)1.6Mn2O7,,,O7.0Mn2.0Sr1.28Ba0.32La1.4,,I4/mmm,
,Tetragonal,94,94 K,,,10.1016/j.jallcom.2006.06.007,TRUE,"{'a': '3.9008', 'c': '20.6134'}",,,,La1.4(Sr0.4Ba0.6)1.6Mn2O7,,,O7.0Mn2.0Sr0.64Ba0.96La1.4,,I4/mmm,
,Tetragonal,161,161 K,,,10.1016/j.jallcom.2006.06.007,TRUE,"{'a': '3.8697', 'c': '20.3005'}",,,,La1.4(Sr1.6)Mn2O7,,,O7.0Mn2.0Sr1.6La1.4,,I4/mmm,
640 Oe,Cubic,34,34 K,44.5 K,44.5,10.1016/j.jallcom.2020.154613,TRUE,{'a': '7.9810 Å'},,3.44 μB/f.u.,2.29 μB/f.u.,Nd(Al0.95Fe0.05)2,,,Al1.9Fe0.1Nd1,,Fd3̄m,
1700 Oe,Cubic,12,12 K,27 K,27,10.1016/j.jallcom.2020.154613,TRUE,{'a': '7.9589 Å'},,3.5 μB/f.u.,1.98 μB/f.u.,Nd(Al0.9Fe0.1)2,,,Al1.8Fe0.2Nd1,,Fd3̄m,
6300 Oe,Cubic,25,25 K,72 K,72,10.1016/j.jallcom.2020.154613,TRUE,{'a': '7.9051 Å'},,3.45 μB/f.u.,2.26 μB/f.u.,Nd(Al0.8Fe0.2)2,,,Al1.6Fe0.4Nd1,,Fd3̄m,
,Orthorhombic,,,-7.45,-7.45,10.1016/j.jallcom.2005.04.072,TRUE,"{'a': '0.38542', 'b': '0.39197', 'c': '1.1688'}",Orthorhombic,2.56,,Pr(Ba0.9Sr0.1)2Cu3O7,18.8,18.8,O7.0Cu3.0Sr0.2Ba1.8Pr1,,,0.0015
,Orthorhombic,,,-10.25,-10.25,10.1016/j.jallcom.2005.04.072,TRUE,"{'a': '0.38560', 'b': '0.39069', 'c': '1.1663'}",Orthorhombic,2.35,,Pr(Ba0.8Sr0.2)2Cu3O7,19.8,19.8,O7.0Cu3.0Sr0.4Ba1.6Pr1,,,0.0023
,Orthorhombic,,,-13.58,-13.58,10.1016/j.jallcom.2005.04.072,TRUE,"{'a': '0.38720', 'b': '0.38727', 'c': '1.1656'}",Orthorhombic,2.72,,Pr(Ba0.7Sr0.3)2Cu3O7,20.6,20.6,O7.0Cu3.0Sr0.6Ba1.4Pr1,,,0.0007
,Orthorhombic,,,-13.07,-13.07,10.1016/j.jallcom.2005.04.072,TRUE,"{'a': '0.38644', 'b': '0.38698', 'c': '1.1625'}",Orthorhombic,2.64,,Pr(Ba0.6Sr0.4)2Cu3O7,18.8,18.8,O7.0Cu3.0Sr0.8Ba1.2Pr1,,,0.0006
,Orthorhombic,,,-17.32,-17.32,10.1016/j.jallcom.2005.04.072,TRUE,"{'a': '0.38638', 'b': '0.38690', 'c': '1.1628'}",Orthorhombic,2.93,,Pr(Ba0.5Sr0.5)2Cu3O7,16.2,16.2,O7.0Cu3.0Sr1Ba1Pr1,,,0.0007
865 kA/m,2:14:1 phase and α-Fe,550,550 K,,,10.1016/j.jallcom.2018.07.057,TRUE,{'c': '12.133 nm'},Nanocrystalline,,,Nd0.8(Dy0.75Ce0.25)0.2Fe82.5B6Zr1.5,,,B6.0Fe82.5Zr1.5Ce0.05Nd0.8Dy0.15,,,
833 kA/m,2:14:1 phase and α-Fe,535,535 K,,,10.1016/j.jallcom.2018.07.057,TRUE,{'c': '12.138 nm'},Nanocrystalline,,,Nd0.8(Dy0.2Ce0.8)0.2Fe82.5B6Zr1.5,,,B6.0Fe82.5Zr1.5Ce0.16Nd0.8Dy0.04,,,
,Trigonal,,,,,10.1016/j.jcrysgro.2010.05.013,TRUE,,,,,Nd0.9Dy0.1Fe3(BO3)4,31,31 K,B4.0O12.0Fe3.0Nd0.9Dy0.1,,,
,Trigonal,,,,,10.1016/j.jcrysgro.2010.05.013,TRUE,,,,,Nd0.75Dy0.25Fe3(BO3)4,31,31 K,B4.0O12.0Fe3.0Nd0.75Dy0.25,,,
,Trigonal,,,,,10.1016/j.jcrysgro.2010.05.013,TRUE,,,,,NdFe3(BO3)4,32,32 K,B4.0O12.0Fe3.0Nd1,,,
,Th2Zn17-type,1160,1160,,,10.1016/j.jallcom.2003.10.011,FALSE,"{'a': '8.5778', 'b': '8.5778', 'c': '12.5295'}",R-3m,,,Nd2(Co0.9Fe0.1)17,,,Fe1.7Co15.3Nd2.0,,R-3m,
,Th2Zn17-type,1090,1090,,,10.1016/j.jallcom.2003.10.011,FALSE,"{'a': '8.5787', 'b': '8.5787', 'c': '12.4837'}",R-3m,,,Nd2(Co0.7Fe0.3)17,,,Fe5.1Co11.9Nd2.0,,R-3m,
,Th2Zn17-type,980,980,,,10.1016/j.jallcom.2003.10.011,FALSE,"{'a': '8.5869', 'b': '8.5869', 'c': '12.4603'}",R-3m,,,Nd2(Co0.5Fe0.5)17,,,Fe8.5Co8.5Nd2.0,,R-3m,
,Th2Zn17-type,820,820,,,10.1016/j.jallcom.2003.10.011,FALSE,"{'a': '8.5798', 'b': '8.5798', 'c': '12.5031'}",R-3m,,,Nd2(Co0.3Fe0.7)17,,,Fe11.9Co5.1Nd2.0,,R-3m,
,Th2Zn17-type,550,550,,,10.1016/j.jallcom.2003.10.011,FALSE,"{'a': '8.5778', 'b': '8.5778', 'c': '12.5295'}",R-3m,,,Nd2(Co0.1Fe0.9)17,,,Fe15.3Co1.7Nd2.0,,R-3m,
,Th2Zn17-type,436,436,,,10.1016/j.jallcom.2003.10.011,FALSE,"{'a': '8.6485', 'b': '8.6485', 'c': '12.4319'}",R-3m,,,Nd2(Co0.9Fe0.1)12.3Cr4.7,,,Cr4.7Fe1.23Co11.07Nd2.0,,R-3m,
,Th2Zn17-type,524,524,,,10.1016/j.jallcom.2003.10.011,FALSE,"{'a': '8.6405', 'b': '8.6405', 'c': '12.4389'}",R-3m,,,Nd2(Co0.8Fe0.2)12.7Cr4.3,,,Cr4.3Fe2.54Co10.16Nd2.0,,R-3m,
,Th2Zn17-type,577,577,,,10.1016/j.jallcom.2003.10.011,FALSE,"{'a': '8.6568', 'b': '8.6568', 'c': '12.4401'}",R-3m,,,Nd2(Co0.7Fe0.3)13Cr4,,,Cr4.0Fe3.9Co9.1Nd2.0,,R-3m,
,Th2Zn17-type,607,607,,,10.1016/j.jallcom.2003.10.011,FALSE,"{'a': '8.6330', 'b': '8.6330', 'c': '12.4462'}",R-3m,,,Nd2(Co0.6Fe0.4)13.3Cr3.7,,,Cr3.7Fe5.32Co7.98Nd2.0,,R-3m,
,Th2Zn17-type,619,619,,,10.1016/j.jallcom.2003.10.011,FALSE,"{'a': '8.6219', 'b': '8.6219', 'c': '12.4502'}",R-3m,,,Nd2(Co0.5Fe0.5)13.7Cr3.3,,,Cr3.3Fe6.85Co6.85Nd2.0,,R-3m,
,Th2Zn17-type,614,614,,,10.1016/j.jallcom.2003.10.011,FALSE,"{'a': '8.6235', 'b': '8.6235', 'c': '12.4550'}",R-3m,,,Nd2(Co0.4Fe0.6)14Cr3,,,Cr3.0Fe8.4Co5.6Nd2.0,,R-3m,
,Th2Zn17-type,601,601,,,10.1016/j.jallcom.2003.10.011,FALSE,"{'a': '8.6305', 'b': '8.6305', 'c': '12.4578'}",R-3m,,,Nd2(Co0.3Fe0.7)14.3Cr2.7,,,Cr2.7Fe10.01Co4.29Nd2.0,,R-3m,
,Th2Zn17-type,554,554,,,10.1016/j.jallcom.2003.10.011,FALSE,"{'a': '8.6195', 'b': '8.6195', 'c': '12.4616'}",R-3m,,,Nd2(Co0.2Fe0.8)14.7Cr2.3,,,Cr2.3Fe11.76Co2.94Nd2.0,,R-3m,
,,823.15,550 °C,,,10.1016/j.jallcom.2019.153103,TRUE,"{'a': '8.4671', 'c': '12.2103'}",,,,Sm(Co0.76Fe0.12Cu0.09Zr0.03)7,,,Fe0.84Co5.32Cu0.63Zr0.21Sm1,,,
,ThMn12,800,800 K,,,10.1016/j.jallcom.2020.158477,TRUE,{'a': '0.842 nm'},Tetragonal,,1.84 T,Sm1.1(Fe0.8Co0.2)12,,,Fe9.6Co2.4Sm1.1,,,
,ThMn12,750,750 K,,,10.1016/j.jallcom.2020.158477,TRUE,{'a': '0.846 nm'},Tetragonal,,1.63 T,Sm1.1(Fe0.8Co0.2)11.6Ti0.4,,,Ti0.4Fe9.28Co2.32Sm1.1,,,
,ThMn12,730,730 K,,,10.1016/j.jallcom.2020.158477,TRUE,{'a': '0.848 nm'},Tetragonal,,1.55 T,Sm1.1(Fe0.8Co0.2)11.2Ti0.6,,,Ti0.6Fe8.96Co2.24Sm1.1,,,
,"Nd3(Fe,Ti)29-type",736,736 K,,,10.1016/S0925-8388(03)00065-3,TRUE,"{'a': '10.518', 'b': '8.482', 'c': '9.661'}",Monoclinic,"40.3 μB/f.u. (5 K), 36.3 μB/f.u. (293 K)",,Sm3(Fe0.6Co0.4)24.5Cr4.5,,,Cr4.5Fe14.7Co9.8Sm3.0,,A2/m,
,"Nd3(Fe,Ti)29-type",688,688 K,,,10.1016/S0925-8388(03)00065-3,TRUE,"{'a': '10.510', 'b': '8.466', 'c': '9.625'}",Monoclinic,"30.7 μB/f.u. (5 K), 28.9 μB/f.u. (293 K)",,Sm3(Fe0.5Co0.5)24Cr5,,,Cr5.0Fe12.0Co12.0Sm3.0,,A2/m,
,"Nd3(Fe,Ti)29-type",663,663 K,,,10.1016/S0925-8388(03)00065-3,TRUE,"{'a': '10.490', 'b': '8.458', 'c': '9.610'}",Monoclinic,"25.5 μB/f.u. (5 K), 24.4 μB/f.u. (293 K)",,Sm3(Fe0.4Co0.6)23.5Cr5.5,,,Cr5.5Fe9.4Co14.1Sm3.0,,A2/m,
,"Nd3(Fe,Ti)29-type",607,607 K,,,10.1016/S0925-8388(03)00065-3,TRUE,"{'a': '10.464', 'b': '8.458', 'c': '9.605'}",Monoclinic,"21.0 μB/f.u. (5 K), 20.3 μB/f.u. (293 K)",,Sm3(Fe0.3Co0.7)23Cr6,,,Cr6.0Fe6.9Co16.1Sm3.0,,A2/m,
,"Nd3(Fe,Ti)29-type",566,566 K,,,10.1016/S0925-8388(03)00065-3,TRUE,"{'a': '10.456', 'b': '8.455', 'c': '9.602'}",Monoclinic,"18.4 μB/f.u. (5 K), 17.4 μB/f.u. (293 K)",,Sm3(Fe0.2Co0.8)22.5Cr6.5,,,Cr6.5Fe4.5Co18.0Sm3.0,,A2/m,
,"Nd3(Fe,Ti)29-type",440,440 K,,,10.1016/S0925-8388(03)00065-3,TRUE,"{'a': '10.436', 'b': '8.418', 'c': '9.578'}",Monoclinic,"14.7 μB/f.u. (5 K), 12.0 μB/f.u. (293 K)",,Sm3(Fe0.1Co0.9)22Cr7,,,Cr7.0Fe2.2Co19.8Sm3.0,,A2/m,
5692.5 Oe,Hexagonal,943.15,670°C,,,10.1016/j.ceramint.2016.03.078,TRUE,"{'a': '5.8746 Å', 'c': '22.9966 Å'}",Hexagonal,,60.6 emu/g,Sr0.85La0.15(MnZr)0.0Fe12O19,,,O19.0Mn0.0Fe12.0Sr0.85Zr0.0La0.15,34.3 emu/g,,
3990 Oe,Hexagonal,851.15,578°C,,,10.1016/j.ceramint.2016.03.078,TRUE,"{'a': '5.8776 Å', 'c': '23.0359 Å'}",Hexagonal,,61.7 emu/g,Sr0.85La0.15(MnZr)0.25Fe11.5O19,,,O19.0Mn0.25Fe11.5Sr0.85Zr0.25La0.15,32.8 emu/g,,
3050 Oe,Hexagonal,843.15,570°C,,,10.1016/j.ceramint.2016.03.078,TRUE,"{'a': '5.8891 Å', 'c': '23.1047 Å'}",Hexagonal,,58.5 emu/g,Sr0.85La0.15(MnZr)0.5Fe11O19,,,O19.0Mn0.5Fe11.0Sr0.85Zr0.5La0.15,30.4 emu/g,,
2260 Oe,Hexagonal,798.15,525°C,,,10.1016/j.ceramint.2016.03.078,TRUE,"{'a': '5.8849 Å', 'c': '23.0711 Å'}",Hexagonal,,56.3 emu/g,Sr0.85La0.15(MnZr)0.75Fe10.5O19,,,O19.0Mn0.75Fe10.5Sr0.85Zr0.75La0.15,28.3 emu/g,,
1669.2 Oe,Hexagonal,788.15,515°C,,,10.1016/j.ceramint.2016.03.078,TRUE,"{'a': '5.8965 Å', 'c': '23.1102 Å'}",Hexagonal,,55.2 emu/g,Sr0.85La0.15(MnZr)1.0Fe10O19,,,O19.0Mn1Fe10.0Sr0.85Zr1La0.15,27.1 emu/g,,
2.857 kOe,Hexagonal,852,852 K,,,10.1016/j.jallcom.2019.152830,TRUE,"{'a': '5.88 Å', 'c': '43.32 Å'}",Hexagonal,1.50 μB,6.39 emu/g,Sr2NiMnFe11.5(TiCo)0.25O22,,,O22.0Ti0.25Mn1Fe11.5Co0.25Ni1Sr2.0,3.67 emu/g,R-3m (No. 166),
1.985 kOe,Hexagonal,893,893 K,,,10.1016/j.jallcom.2019.152830,TRUE,"{'a': '5.88 Å', 'c': '43.32 Å'}",Hexagonal,2.75 μB,11.73 emu/g,Sr2NiMnFe11(TiCo)0.5O22,,,O22.0Ti0.5Mn1Fe11.0Co0.5Ni1Sr2.0,6.36 emu/g,R-3m (No. 166),
0.931 kOe,Hexagonal,845,845 K,,,10.1016/j.jallcom.2019.152830,TRUE,"{'a': '5.88 Å', 'c': '43.32 Å'}",Hexagonal,2.43 μB,10.37 emu/g,Sr2NiMnFe10.5(TiCo)0.75O22,,,O22.0Ti0.75Mn1Fe10.5Co0.75Ni1Sr2.0,4.75 emu/g,R-3m (No. 166),
0.763 kOe,Hexagonal,820,820 K,,,10.1016/j.jallcom.2019.152830,TRUE,"{'a': '5.88 Å', 'c': '43.32 Å'}",Hexagonal,1.50 μB,6.44 emu/g,Sr2NiMnFe10(TiCo)1O22,,,O22.0Ti1Mn1Fe10.0Co1Ni1Sr2.0,2.72 emu/g,R-3m (No. 166),
0.854 kOe,Hexagonal,870,870 K,,,10.1016/j.jallcom.2019.152830,TRUE,"{'a': '5.88 Å', 'c': '43.32 Å'}",Hexagonal,4.07 μB,17.39 emu/g,Sr2NiMnFe9.5(TiCo)1.25O22,,,O22.0Ti1.25Mn1Fe9.5Co1.25Ni1Sr2.0,7.57 emu/g,R-3m (No. 166),
190 kA/m,Cubic,390,390 K,,,10.1016/j.physb.2009.05.003,TRUE,{'a': '0.7354 nm'},Laves phase,,,Tb0.3Pr0.7(Fe0.4Co0.6)1.93,,,Fe0.77Co1.16Pr0.7Tb0.3,,MgCu2-type,
,Cubic,390,390 K,,,10.1016/j.physb.2009.05.003,TRUE,,Laves phase,,,Tb0.1Pr0.9(Fe0.4Co0.6)1.93,,,Fe0.77Co1.16Pr0.9Tb0.1,,MgCu2-type,
28 kOe,Tetragonal,360,360 K,383 K,383,10.1016/j.jallcom.2021.159325,TRUE,"{'a': '4.0015 Å', 'c': '10.7135 Å'}",ThCr2Si2 type,1.479 μB/f.u.,,U(Mn0.9Cu0.1)2Ge2,,,Mn1.8Cu0.2Ge2.0U1,,I4/mmm,
23 kOe,Tetragonal,340,340 K,376 K,376,10.1016/j.jallcom.2021.159325,TRUE,"{'a': '4.0084 Å', 'c': '10.6555 Å'}",ThCr2Si2 type,1.381 μB/f.u.,,U(Mn0.8Cu0.2)2Ge2,,,Mn1.6Cu0.4Ge2.0U1,,I4/mmm,
,,,,,,10.1016/S0921-4526(99)02556-9,TRUE,,,0.65 μB,,U(Pt0.95Pd0.05)3,6,6 K,Pd0.15Pt2.85U1,,,
,,,,,,10.1016/S0921-4526(99)01188-6,TRUE,,,,,UCu5(In0.25Ga0.75),16,16 K,Cu5.0Ga0.75In0.25U1,,,
,PrNi2Al3-type,,,θ ∼−40 K,40,10.1016/S0921-4526(98)00725-X,TRUE,,,μeff ∼3.6 μB,,UPd2(Al0.9Ga0.1)3,14.2,14.2 K,Al2.7Ga0.3Pd2.0U1,,P6/mmm,
,PrNi2Al3-type,,,θ ∼0 K,0,10.1016/S0921-4526(98)00725-X,TRUE,,,μeff ∼3.0 μB,,UPd2(Al0.8Ga0.2)3,14.1,14.1 K,Al2.4Ga0.6Pd2.0U1,,P6/mmm,
,Cubic C15,500,500 K,,,10.1016/S0921-4526(00)00369-0,TRUE,,,,,Y(Al0.25Fe0.75)2,,,Al0.5Fe1.5Y1,,,
,Orthorhombic,,,27 K,27,10.1016/j.jallcom.2013.08.033,TRUE,"{'a': '10.8080 Å', 'b': '3.4980 Å', 'c': '12.4661 Å'}",,2.04 μB,,Y2(Cu0.95Mg0.05)2O5,,,O5.0Mg0.1Cu1.9Y2.0,,Pna21,
,Orthorhombic,,,18 K,18,10.1016/j.jallcom.2013.08.033,TRUE,"{'a': '10.8009 Å', 'b': '3.4951 Å', 'c': '12.4699 Å'}",,2.01 μB,,Y2(Cu0.85Mg0.15)2O5,,,O5.0Mg0.3Cu1.7Y2.0,,Pna21,
,Monoclinic,425,425K,,,10.1016/j.jallcom.2005.03.031,TRUE,"{'a': '10.578', 'b': '8.488', 'c': '9.674'}",03:29,,,Y3(Fe0.9Co0.1)27.5V1.5,,,V1.5Fe24.75Co2.75Y3.0,,A 2/m,
,Monoclinic,567,567K,,,10.1016/j.jallcom.2005.03.031,TRUE,"{'a': '10.560', 'b': '8.484', 'c': '9.671'}",03:29,,,Y3(Fe0.8Co0.2)27.5V1.5,,,V1.5Fe22.0Co5.5Y3.0,,A 2/m,
,Monoclinic,703,703K,,,10.1016/j.jallcom.2005.03.031,TRUE,"{'a': '10.540', 'b': '8.471', 'c': '9.664'}",03:29,,,Y3(Fe0.7Co0.3)27.5V1.5,,,V1.5Fe19.25Co8.25Y3.0,,A 2/m,
,Monoclinic,858,858K,,,10.1016/j.jallcom.2005.03.031,TRUE,"{'a': '10.528', 'b': '8.455', 'c': '9.662'}",03:29,,,Y3(Fe0.6Co0.4)27.5V1.5,,,V1.5Fe16.5Co11.0Y3.0,,A 2/m,
,,,,,,10.1016/S0921-4526(00)00831-0,TRUE,,,,,YBa2(Cu0.9Fe0.1)3O6.36,460,460 K,O6.36Fe0.3Cu2.7Y1Ba2.0,,,
,,,,,,10.1016/S0921-4526(00)00831-0,TRUE,,,,,YBa2(Cu0.85Fe0.15)3O6.67,470,470 K,O6.67Fe0.45Cu2.55Y1Ba2.0,,,
,,31,31 K,,,10.1016/S0921-4526(00)00831-0,TRUE,,,,,YBa2(Cu0.9Fe0.1)3O7.01,,,O7.01Fe0.3Cu2.7Y1Ba2.0,,,
,,9,9 K,,,10.1016/S0921-4526(00)00831-0,TRUE,,,,,YBa2(Cu0.87Fe0.13)3O7.14,,,O7.14Fe0.39Cu2.61Y1Ba2.0,,,
,Tetragonal,,,-0.25 K,-0.25,10.1016/j.physb.2007.10.114,TRUE,,,1.3 μB/Yb,,Yb(Rh0.975Ir0.025)2Si2,0.04,0.04 K,Si2.0Rh1.95Yb1Ir0.05,,,
,Tetragonal,,,-0.25 K,-0.25,10.1016/j.physb.2007.10.114,TRUE,,,1.3 μB/Yb,,Yb(Rh0.94Ir0.06)2Si2,,,Si2.0Rh1.88Yb1Ir0.12,,,
,Tetragonal,,,-0.5 K,-0.5,10.1016/j.physb.2007.10.114,TRUE,,,1.3 μB/Yb,,Yb(Rh0.83Ir0.17)2Si2,,,Si2.0Rh1.66Yb1Ir0.34,,,
,,,,,,10.1016/j.physb.2009.07.041,TRUE,,,,,Yb(Rh0.97Co0.03)2Si2,0.16,0.16 K,Si2.0Co0.06Rh1.94Yb1,,,
,,,,,,10.1016/j.physb.2009.07.041,TRUE,,,,,Yb(Rh0.93Co0.07)2Si2,0.41,0.41 K,Si2.0Co0.14Rh1.86Yb1,,,
,,,,,,10.1016/j.physb.2009.07.041,TRUE,,,,,Yb(Rh0.88Co0.12)2Si2,0.75,0.75 K,Si2.0Co0.24Rh1.76Yb1,,,
,,,,-1.5 K,-1.5,10.1016/j.physb.2004.12.042,TRUE,,,,,YbRh2(Si0.95Ge0.05)2,,,Si1.9Ge0.1Rh2.0Yb1,,,
